Date	Precipitation	Snow_Water_Equi	Snow_melt+rain	ETP_Coeff	ETP_Input	LAI	I-Cap	Int. ETi(leaf)	I-Bal	I-Prec	I-Rem	I_ETi(litter)	Bilanz	Content	S-REstn	Inf-Limit	P-linf	Rest-ETA	Balance_soil	ETa	ET-Balance	Seepage	Storage	Surface_runoff	Runoff_total	I-Leaf	I-Litter	ETaTotal
06.03.1995	8.6	0.0	8.6	0.21	0.19051738509888125	1.0	0.35	0.19051738509888125	8.409482614901119	8.409482614901119	0.0	0.0	8.409482614901119	0.0	8.409482614901119	9.907634334862593	7.148060222665951	0.0	217.51752288321558	0.0	217.51752288321558	1.426450090391771	216.0910727928238	1.2614223922351684	2.6878724826269393	0.19051738509888125	0.0	0.19051738509888125
07.03.1995	2.7	0.0	2.7	0.21	0.3587516913513627	1.0	0.35	0.35	2.35	2.35	0.008751691351362723	0.0	2.35	0.0	2.35	8.477231801794048	1.9975	0.008751691351362723	218.0885727928238	0.008751691351362723	218.07982110147245	1.4429476960945258	216.6368734053779	0.35250000000000004	1.7954476960945258	0.35	0.0	0.3587516913513627
08.03.1995	0.0	0.0	0.0	0.21	0.9111136339222942	1.0	0.35	0.35	-0.35	0.0	0.9111136339222942	0.0	0.0	0.0	0.0	8.340781648655522	0.0	0.9111136339222942	216.6368734053779	0.9111136339222942	215.7257597714556	1.3745131625733644	214.35124660888226	0.0	1.3745131625733644	0.0	0.0	0.9111136339222942
09.03.1995	2.1	0.0	2.1	0.21	0.605948551752487	1.0	0.35	0.35	1.75	1.75	0.255948551752487	0.0	1.75	0.0	1.75	8.912188347779434	1.4875	0.255948551752487	215.83874660888227	0.255948551752487	215.5827980571298	1.370410692664508	214.2123873644653	0.26249999999999996	1.632910692664508	0.35	0.0	0.605948551752487
10.03.1995	11.4	0.0	11.4	0.21	1.1068752025296202	1.0	0.35	0.35	11.05	11.05	0.7568752025296203	0.0	11.05	0.0	11.05	8.946903158883678	7.6048676850511265	0.7568752025296203	221.8172550495164	0.7568752025296203	221.0603798469868	1.531980056222588	219.5283997907642	3.445132314948874	4.977112371171462	0.35	0.0	1.1068752025296202
11.03.1995	0.0	0.0	0.0	0.21	0.6250527464150297	1.0	0.35	0.35	-0.35	0.0	0.6250527464150297	0.0	0.0	0.0	0.0	7.617900052308947	0.0	0.6250527464150297	219.5283997907642	0.6250527464150297	218.90334704434918	1.4672808084862459	217.43606623586294	0.0	1.4672808084862459	0.0	0.0	0.6250527464150297
12.03.1995	0.1	0.0	0.1	0.21	0.8902963625237257	1.0	0.35	0.35	-0.24999999999999997	0.0	0.7902963625237257	0.0	0.0	0.0	0.0	8.140983441034265	0.0	0.7902963625237257	217.43606623586294	0.7902963625237257	216.64576987333922	1.4010607251615663	215.24470914817766	0.0	1.4010607251615663	0.09999999999999998	0.0	0.8902963625237257
13.03.1995	0.4	0.0	0.4	0.21	0.5715801505415212	1.0	0.35	0.35	0.050000000000000044	0.050000000000000044	0.22158015054152125	0.0	0.050000000000000044	0.0	0.050000000000000044	8.688822712955584	0.04250000000000004	0.22158015054152125	215.28720914817765	0.22158015054152125	215.06562899763614	1.3556210725074296	213.7100079251287	0.007500000000000007	1.3631210725074296	0.35	0.0	0.5715801505415212
14.03.1995	0.0	0.0	0.0	0.21	0.6099699243947044	1.0	0.35	0.35	-0.35	0.0	0.6099699243947044	0.0	0.0	0.0	0.0	9.072498018717823	0.0	0.6099699243947044	213.7100079251287	0.6099699243947044	213.100038000734	1.3001425613607172	211.79989543937327	0.0	1.3001425613607172	0.0	0.0	0.6099699243947044
15.03.1995	0.1	0.0	0.1	0.21	0.3126784291758515	1.0	0.35	0.3126784291758515	-0.21267842917585147	0.0	0.21267842917585147	0.0	0.0	0.0	0.0	9.550026140156682	0.0	0.21267842917585147	211.79989543937327	0.21267842917585147	211.58721701019743	1.2582327479509496	210.32898426224648	0.0	1.2582327479509496	0.1	0.0	0.3126784291758515
